Menya NOROMA Honten	麺屋NOROMA 本店
Ramenya Mitsuba	ラーメン屋 みつ葉
Tsukemen Mushin	つけ麺無心
Mentokoro Toichi	麺処 と市
Ramen Toriikaji Ippai	らぁめん トリカヂ イッパイ
Gamushara Nara	がむしゃら 奈良
Men Shokudo 88	麺食堂 88
Menya K	麺屋 K
Chuka Soba Oshitani 	中華そば おしたに
MENYA BIBIRI	MENYA BIBIRI
Menba Rikiou	麺場 力皇
Menya Ittoku	麺屋 一徳
Ramenya Mitsuba the second	ラーメン屋 みつ葉 the second
Menya Eguchi	麺屋 えぐち
Ramen Senichi	らぁ麺 せんいち
Muteppou Shabaton	無鉄砲しゃばとん
Wakakusa Curry Honpo	若草カレー本舗
Akatsuki Seimen	暁 製麺
Ramen Kawa	ラーメン河
Namaiki Noodles	ナマイキ ヌードルズ
Menya Ichibiri	麺屋 いちびり
Fujimon Seimen	ふじ門 製麺
Minimi Shokudo	みなみ食堂
Don Cheadle	ドン. チードル
Tonsaikan	豚菜館
IEKEI KANSAI Oudouie Chokkei Gadouya	IEKEI KANSAI 王道家直系 我道家
Ano RamenSeisakujo	アノラーメン製作所
Shio Taiou	塩たいおう
Ramenya Cocoro	ラーメン屋 こゝろ
Mario Ryu	まりお流